;Ts_01_V4;Ts_02_V4;Ts_03_V4;Ts_04_V4;Ts_05_V4;Ts_06_V4;Ts_07_V4;Ts_08_V4;Ts_09_V4;Ts_10_V4;Ts_11_V4;Ts_12_V4;Ts_13_V4;Ts_14_V4;Ts_15_V4;Ts_16_V4;Ts_17_V4;Ts_18_V4;Ts_19_V4;Ts_20_V4;Ts_21_V4;Ts_22_V4;Ts_23_V4;Ts_24_V4;Ts_25_V4;Ts_26_V4;Ts_27_V4;Ts_28_V4;Ts_29_V4;Ts_30_V4;Ts_31_V4;Ts_32_V4;Ts_33_V4;Ts_34_V4;Ts_35_V4;Ts_36_V4;Ts_37_V4;main_01_V1;main_02_V1;main_03_V1;main_04_V1;main_05_V1;main_06_V1;main_07_V1;main_08_V1;main_09_V1;main_10_V1;main_11_V1;main_12_V1;main_13_V1;main_14_V1;main_15_V1;main_16_V1;main_17_V1;main_18_V1;main_19_V1;main_20_V1;main_21_V1;main_22_V1;main_23_V1;main_24_V1;main_25_V1;main_26_V1;main_27_V1;main_28_V1;main_29_V1;main_30_V1;main_31_V1;main_32_V1;main_33_V1
Ts_34_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.530755387327546;NA;0.840967842262651;0.623908682487961;0.693571980116502;1;0.662336450453316;0.672162619380373;NA;NA;NA;0.773128528049438;NA;NA;NA;NA;0.557384006593235;0.79460493958671;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_35_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.575916898453266;NA;0.626262759847767;NA;0.848460153265651;0.984913655355992;0.639394003569681;0.662336450453316;1;NA;NA;NA;NA;0.936452345311783;NA;NA;NA;NA;0.842109599359084;NA;NA;NA;NA;NA;0.775337553280059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_36_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.528152785571969;NA;NA;NA;NA;NA;NA;NA;NA;0.793248418537571;NA;NA;NA;NA;NA;NA;0.66682486742604;NA;NA;NA;NA;NA;NA;0.597369294439228;0.672162619380373;NA;1;0.594667999055357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_37_V4;NA;NA;NA;NA;0.781249084423087;NA;NA;NA;NA;0.573120549076705;NA;0.839373491456413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.513407058130875;NA;NA;NA;0.697503375695968;NA;NA;NA;NA;NA;NA;NA;0.594667999055357;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.649843237289017;NA;NA;NA;NA;NA;NA
main_01_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.577150805163579;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.513149514647647;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.665317197173282;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.696623333223264;NA;NA;NA;NA;NA;NA
main_02_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.665317197173282;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.548806130475104;NA;NA;NA;NA;NA;NA
main_03_V1;NA;-0.548741517546514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.527211189770091;NA;0.663757108501845;NA;0.824204840266961;0.908614538285365;0.563972590626517;0.773128528049438;0.936452345311783;NA;NA;NA;NA;1;NA;0.528993634144777;NA;NA;0.91551528133349;0.595878079070543;NA;NA;NA;NA;0.732131267135047;NA;NA;NA;NA;NA;NA;NA;NA;-0.513665791981177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_04_V1;-0.520543350149095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.50477042906811;0.725165675132431;NA;NA;NA;NA;NA;NA;0.764574785225403;NA;NA;NA;NA;NA;NA;0.552268069587033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.75867834006637;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.506794211017333;NA;NA;NA;NA;NA;NA;NA;-0.505276661119466;NA;-0.557395527183864;NA;NA;NA;NA;NA;NA;NA;0.86226422861021
main_05_V1;-0.715615904945045;NA;NA;NA;NA;NA;NA;NA;-0.543011486503592;NA;NA;NA;NA;NA;NA;0.558187116221935;NA;NA;NA;NA;NA;NA;0.657585519838507;NA;NA;NA;NA;NA;0.559062969525263;0.565000801202884;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.528993634144777;0.75867834006637;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.654663947842601;NA;NA;NA;NA;NA;NA;NA;-0.827614802419541;NA;-0.70070702637295;-0.75130290842552;NA;NA;NA;-0.505695992354161;NA;NA;0.57368450443898
main_06_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.784260619347127;-0.521674514438499;NA;0.737387868808674;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_07_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.784260619347127;1;NA;NA;0.808369182217461;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_08_V1;NA;-0.503183504447686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.639987518428414;NA;0.614379084804798;0.827492242150881;NA;0.557384006593235;0.842109599359084;NA;NA;NA;NA;0.91551528133349;NA;NA;-0.521674514438499;NA;1;NA;-0.501449753125162;NA;NA;NA;0.700115173847185;NA;NA;NA;NA;NA;NA;NA;NA;-0.507067837713951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_09_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.747675303385465;NA;0.663702937131802;0.79460493958671;NA;NA;NA;NA;NA;0.595878079070543;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_10_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.737387868808674;0.808369182217461;-0.501449753125162;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_11_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_12_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.818659478757775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_13_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.542500055153618;NA;0.617095421437583;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;0.657976521594089;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_14_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.508802798973238;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.57178200687705;NA;0.540586120554191;NA;0.629988783085943;0.76001635671429;NA;NA;0.775337553280059;NA;NA;NA;NA;0.732131267135047;NA;NA;NA;NA;0.700115173847185;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;0.509380873598177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_15_V1;0.53933678475595;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.680341828129943;NA;-0.519490334541556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.506794211017333;-0.654663947842601;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;0.61406216413153;NA;0.538418260757863;NA;NA;NA;NA;NA;NA;NA;-0.549125398957704
main_16_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.543885039552872;NA;NA;NA;NA;NA;0.753566808904419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.657976521594089;NA;NA;1;NA;NA;NA;0.50352284334952;NA;NA;NA;NA;NA;-0.615103975499101;NA;NA;NA;NA;NA;NA;NA
main_17_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.586418632948743;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.516910553017523;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0.588981814814727;NA;0.736552053401808;NA;NA;NA;NA;NA
main_18_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.592675369195899;NA;NA;NA;NA;NA;NA;NA;NA;0.580600586635383;NA;NA;NA;NA;-0.504489299130804;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.540652162519794;NA;NA;NA;NA
main_19_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.670692917556161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.509380873598177;NA;NA;NA;NA;1;NA;NA;0.861099647971634;-0.514327781991259;NA;NA;-0.589686411106122;NA;-0.522756702615842;NA;NA;NA;NA;NA
main_20_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.50352284334952;NA;NA;NA;1;NA;0.640151222454429;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
main_21_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.509855551645939;NA;NA;NA;NA;NA;NA;NA;NA;0.683429588113169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.609334754642462;NA;NA;-0.521493500925021;-0.54124777340326;NA;NA;NA;NA;NA;NA;NA
main_22_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.626606255624263;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.861099647971634;0.640151222454429;0.609334754642462;1;-0.588183529335652;NA;-0.534191049747188;-0.688830476583958;NA;NA;NA;NA;NA;NA;NA
main_23_V1;0.713422461573861;NA;NA;NA;NA;NA;NA;NA;0.698468518000552;NA;NA;NA;NA;NA;NA;NA;0.558597939104061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.564840964907077;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.513665791981177;-0.505276661119466;-0.827614802419541;NA;NA;-0.507067837713951;NA;NA;NA;NA;NA;NA;0.61406216413153;NA;NA;NA;-0.514327781991259;NA;NA;-0.588183529335652;1;NA;0.706301897308496;0.860009585017198;NA;0.549164347260413;NA;NA;NA;NA;NA
main_24_V1;NA;NA;NA;NA;NA;NA;0.655031195664307;NA;NA;NA;NA;NA;NA;NA;NA;0.593917776687389;NA;NA;NA;NA;NA;NA;0.504752800640329;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;0.575014169214149;0.514997370280025
main_25_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.557395527183864;-0.70070702637295;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.538418260757863;NA;NA;NA;NA;NA;-0.521493500925021;-0.534191049747188;0.706301897308496;NA;1;0.647906505191393;NA;NA;NA;0.505935691715169;NA;NA;NA
main_26_V1;0.513581660288868;0.549948287466538;0.727169752064587;NA;NA;0.527818756029382;NA;NA;0.550817895519147;NA;NA;NA;NA;NA;NA;NA;0.508357825268158;NA;NA;NA;NA;NA;NA;-0.59708023706743;NA;NA;NA;NA;-0.639704949905981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.75130290842552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.615103975499101;0.588981814814727;NA;-0.589686411106122;NA;-0.54124777340326;-0.688830476583958;0.860009585017198;NA;0.647906505191393;1;NA;0.68673043298082;NA;NA;NA;NA;NA
main_27_V1;NA;NA;NA;NA;0.603499825373171;NA;NA;0.624016736898827;NA;NA;NA;0.714703576785776;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.588055738375305;NA;NA;NA;0.641008627862694;NA;NA;NA;NA;NA;NA;NA;NA;0.649843237289017;0.696623333223264;0.548806130475104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;0.516471259633725;NA
main_28_V1;NA;NA;0.555675527922761;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.646830069554751;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.736552053401808;NA;-0.522756702615842;NA;NA;NA;0.549164347260413;NA;NA;0.68673043298082;NA;1;NA;NA;NA;NA;NA
main_29_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.582387018250063;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.540652162519794;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA
main_30_V1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.505695992354161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.505935691715169;NA;NA;NA;NA;1;NA;NA;NA
main_31_V1;NA;NA;NA;0.709203974689869;NA;NA;0.59125183985547;0.642141320193246;NA;NA;NA;NA;NA;0.544300751778368;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.864985364622333;NA
main_32_V1;NA;NA;NA;0.608674368182469;NA;NA;0.672812147582022;0.735388330302157;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.575014169214149;NA;NA;0.516471259633725;NA;NA;NA;0.864985364622333;1;NA
main_33_V1;-0.538041683330475;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.621475795533989;NA;NA;NA;NA;-0.532520150722307;NA;0.77652158563434;NA;NA;0.678835831950773;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.86226422861021;0.57368450443898;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.549125398957704;NA;NA;NA;NA;NA;NA;NA;NA;0.514997370280025;NA;NA;NA;NA;NA;NA;NA;NA;1